,data1
0,Aug 8 03:32:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
1,Aug 8 03:32:04seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
2,Aug 8 03:32:07seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lakestevens-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.215 MaxRTT=19.901 Avg-RTT=8.785 Jitter=16.686
3,Aug 8 03:32:09seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
4,Aug 8 03:32:09seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
5,Aug 8 03:32:12seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
6,Aug 8 03:32:12seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
7,Aug 8 03:32:14seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=tulalip-nwic Test=icmp-test Loss%=0.000000 Min-RTT=4.057 MaxRTT=8.788 Avg-RTT=5.962 Jitter=4.731
8,Aug 8 03:32:15seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-gov-bacc Test=icmp-test Loss%=0.000000 Min-RTT=4.016 MaxRTT=8.981999999999999 Avg-RTT=5.808 Jitter=4.966
9,Aug 8 03:32:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
10,Aug 8 03:32:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
11,Aug 8 03:32:21seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
12,Aug 8 03:32:21seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
13,Aug 8 03:32:21seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=southside-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.155 MaxRTT=9.401999999999999 Avg-RTT=6.004 Jitter=5.247
14,Aug 8 03:32:21spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=methowvalley-k12 Test=icmp-test Loss%=0.000000 Min-RTT=9.699 MaxRTT=14.654 Avg-RTT=12.076 Jitter=4.955
15,Aug 8 03:32:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
16,Aug 8 03:32:25seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
17,Aug 8 03:32:25spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=spokanefalls-ctc Test=icmp-test Loss%=0.000000 Min-RTT=1.871 MaxRTT=3.934 Avg-RTT=2.57 Jitter=2.063
